url,date
https://economictimes.indiatimes.com/industry/banking/finance/banking/view-the-issues-with-rbis-plan-to-set-up-nue-entity-for-retail-payments/articleshow/81593891.cms,01-Apr-25
https://economictimes.indiatimes.com/wealth/web-stories/7-reasons-your-upi-transaction-can-get-declined/slideshow/106763705.cms,01-Apr-25
https://economictimes.indiatimes.com/industry/cons-products/electronics/reliance-jio-launches-jiobharat-v3-and-v4-phones-with-4g-features-at-rs-1099/articleshow/114244893.cms,15-Oct-24
https://economictimes.indiatimes.com/wealth/save/upi-atm-launched-check-how-to-use-it-to-withdraw-money/videoshow/103442648.cms,01-Apr-25
https://economictimes.indiatimes.com/small-biz/sme-sector/how-jaipur-based-au-small-finance-bank-plans-to-plug-a-400-billion-credit-gap/articleshow/110321105.cms,01-Apr-25
https://economictimes.indiatimes.com/markets/stocks/news/paytm-fiasco-explained-how-rbi-move-will-impact-your-wallet-fasttag-upi-and-paytm-investors/videoshow/107368580.cms,01-Apr-25
https://economictimes.indiatimes.com/et-now/tech/google-awaiting-rbi-approval-for-upi-npci-chief/videoshow/59531198.cms,01-Apr-25
https://economictimes.indiatimes.com/news/india/pm-modi-in-france-from-upi-at-eiffel-tower-to-new-consulate-in-marseille-key-takeaways/videoshow/101748400.cms,01-Apr-25
https://economictimes.indiatimes.com/wealth/web-stories/5-enhancements-made-to-upi-in-2022-23/slideshow/100622556.cms,01-Apr-25
https://economictimes.indiatimes.com/news/economy/policy/from-web-portal-for-unclaimed-deposits-to-expanding-the-scope-of-upi-key-announcements-from-rbi/videoshow/99295592.cms,01-Apr-25
https://economictimes.indiatimes.com/wealth/web-stories/upi-one-world-can-now-be-used-by-all-inbound-international-travellers/slideshow/111924472.cms,01-Apr-25
https://economictimes.indiatimes.com/wealth/web-stories/how-to-activate-make-payments-using-upi-international/slideshow/107659102.cms,01-Apr-25
https://economictimes.indiatimes.com/markets/stocks/news/here-are-8-highlights-from-rbi-monetary-policy/slideshow/92078244.cms,01-Apr-25
https://economictimes.indiatimes.com/industry/banking/finance/banking/new-age-bankers-get-a-technology-upgrade/articleshow/74200767.cms,01-Apr-25
https://economictimes.indiatimes.com/news/economy/policy/npci-pings-prime-ministers-office-government-departments-to-bring-back-digital-pay-mdr/articleshow/77227834.cms,01-Apr-25
https://economictimes.indiatimes.com/industry/banking/finance/iec-2022-there-is-a-need-to-globalise-upi-stack-kv-kamath/videoshow/90979995.cms,01-Apr-25
https://economictimes.indiatimes.com/tech/technology/regulator-unlikely-to-budge-following-its-statement-on-us-crypto-major-coinbase-using-upi/articleshow/92260376.cms,01-Apr-25
